	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
22	2.1735218	-3.3442907	3.9339921	-1.404512	-0.087855026	0.17679179	2.6281524	4.394816	2.911987	0.5168335	-0.86617357	-3.2571137	0.21530056	2.6239626	-3.9702132	0.43137503	-2.006152	0.026043199	1.290759	-2.6851	1.0937822	-0.54300785	-0.84875715	-2.4669766	2.6754231	0.67249465	1.51822	-0.2765767	-0.15136029	1.0146289	-0.18262279	-3.3143966
23	-2.0507302	0.35246915	-0.8604048	4.052179	-0.77887887	-0.19102854	0.6782643	-1.9254519	-1.4348278	0.12285709	3.4614017	0.9778456	4.51882	-0.6821134	3.2554955	0.069540106	-2.1531062	1.423769	1.6613648	-1.0280948	-0.03504047	-1.5170715	1.7480704	-0.41562974	4.1967244	2.7809408	0.6053258	-0.107941434	4.2687073	-1.0132891	0.9263519	0.45287192
24	-3.710737	-3.058022	2.072567	-1.0024414	0.5567267	1.424577	-1.5547132	5.254765	-0.47263482	-0.8527712	0.8170121	-3.0304887	1.8584743	-0.8877545	2.352387	1.8193293	-2.1906686	3.672459	-0.21454568	1.888208	-2.7532763	-3.4586933	-1.5124186	-4.499666	0.9255126	-0.9014972	1.5271823	2.8123071	-0.64204264	1.0553323	1.1506499	-0.2284983
25	0.824874	2.0525568	-0.67376184	3.1872315	-1.8873955	-0.17990373	2.7082071	-0.35377482	4.1583557	2.1855958	1.1600827	0.8509596	1.4955107	3.0059454	3.958803	1.8638109	1.4045397	0.82959443	-1.3352491	2.399213	1.0038986	0.45912486	-0.52407306	3.0209072	3.905712	-0.8658022	0.73118424	-3.1693876	-1.6215016	1.1954833	-1.2978348	-1.1951115
26	-1.2996957	-0.47576854	-0.51149964	-0.12739775	-2.7319317	-1.3620439	2.2750425	-1.5607387	-2.6767578	-1.0941879	3.9988112	3.3038936	-0.9134999	-2.4272048	1.0395482	0.56731784	-3.0496435	0.919984	-0.5602129	0.7347668	-2.524626	-1.1073301	1.5553672	-0.27873	1.279403	-1.1875974	1.6848675	0.15673292	2.3152277	2.4450564	2.19967	3.529963
27	-2.5923882	-2.423494	3.748427	-1.8858238	-1.244914	-0.48721996	-2.854397	3.7933342	-0.6546495	-1.1074582	1.4498225	-3.9543872	-1.4820304	-1.0345542	-0.6362	-1.7038009	-1.2351917	5.1066704	-4.460997	-0.992108	0.9292311	-3.1789572	-1.0653105	-1.8203747	1.3515112	-3.2863495	0.3284428	-0.70725334	0.92822975	0.2016498	3.9161682	1.8545191
28	1.8995637	0.7118608	3.7721624	1.9605091	1.5356908	-0.72253585	1.4039717	1.5219762	0.61928135	-3.4368293	0.05013235	-2.6880064	1.6591054	1.9419657	-2.036419	0.12287273	-0.47714695	-1.8275903	-0.6962311	0.5309307	0.59253633	2.2325191	-3.1933265	-1.7308156	2.481787	-0.22238325	-1.0097489	0.86879575	2.963593	0.6670438	-0.30970374	2.1127574
29	2.354351	0.30782574	3.7591321	0.89546937	-0.13180985	0.92445606	1.9061894	-1.3200783	-2.0306184	-4.1249657	-0.13788195	-2.4549332	-2.4952142	3.141326	0.3031061	-1.3958997	2.4172003	-0.3616022	-0.45104802	-0.5374694	1.3728145	-1.9464359	-1.5877808	-1.1509565	-2.4730458	2.9539075	-0.4634598	-3.1700563	-2.0397944	0.3794934	-4.3726683	1.8022075
30	-1.9080331	2.9980955	-1.1110097	0.09527753	0.725468	-0.31916922	-4.441113	2.7392402	-1.2717105	-2.0748658	-1.6053917	0.15471606	-0.2606005	2.4072545	1.5566202	-0.9548145	0.29959962	-0.2938058	1.5597262	2.581112	-4.1616645	1.0952696	-1.2667704	-4.479193	-1.465783	-1.2389197	0.20941062	0.9080648	-0.65654707	-2.2719827	0.32242078	1.6962684
31	3.7710829	-0.70184755	3.5662806	-2.241122	1.0880991	0.45739663	-0.9036404	2.8679264	1.027573	0.59102625	0.74258345	3.4064367	-0.17037752	2.5674174	-0.4794734	-2.011877	1.569197	1.6327447	-0.9960069	-0.1967053	3.5324426	2.7979147	-0.3709485	-2.0318563	0.14368102	-2.1693661	-4.160534	-0.68214506	1.9228873	-0.51483524	3.4433408	-0.108914286
