	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
14	-1.4186252	-1.6752805	4.012435	3.1357403	1.4185328	-0.65846634	-2.6466813	0.24865958	-0.4679423	-1.1824945	2.1334217	-0.3115327	2.0418413	2.6492448	2.1582248	1.5766088
15	-1.0427831	-3.2813706	0.44158283	3.6282394	2.0692627	-1.2155113	-0.33822355	-1.6981438	2.2889626	-0.031477936	-2.3513966	1.804171	-0.3884812	-0.50798476	-1.7011348	0.9461953
16	2.375125	1.051791	-0.8337231	0.46233922	2.1347651	0.948526	-0.4152702	-0.7490588	2.0383887	0.6629738	1.4219284	0.99770737	-2.282309	1.2627438	-0.678417	1.1637857
17	-0.9593761	-0.21043204	-1.1706666	-1.4304409	0.29644758	-2.3249948	-0.5835174	-0.20846434	0.8358534	-0.31585276	1.8304416	-0.9607169	0.034622446	-0.6291321	0.7066585	3.8654063
18	-1.5745268	0.03066617	-0.6524294	-0.032938693	2.0702126	-2.3010736	0.34887803	2.227086	-1.7017349	2.534956	-0.6208856	1.9990731	0.73701745	-1.1618633	2.7629776	-2.0584514
19	0.50276786	-1.5466962	0.3648365	-1.6264143	1.6365666	-1.0254352	2.30208	-0.56960994	-1.8561327	-0.64013386	-0.6021649	0.42195782	1.0236111	-1.8621253	1.9955392	2.4897957
20	-2.0818841	-1.2962297	-0.8433531	-0.5897671	-1.6927309	0.39841846	2.198136	-1.9409988	1.0842755	1.6337937	-0.97414255	-0.671999	-1.090506	1.9432025	-0.9982282	-4.558519
21	-1.2322813	0.1459875	1.5447711	-2.7082853	0.46319985	2.3999772	1.8323146	0.6188842	1.886815	-0.8279564	1.8000373	1.9842266	0.07834627	1.8474221	3.2049694	-0.7890394
22	-0.06435084	0.9885651	1.8311945	0.2572758	-3.5209627	0.96552914	-2.1426926	1.858504	2.1170561	2.516026	-0.3512564	0.6074688	-2.4946373	-1.0673953	0.36613855	0.0077792946
23	1.7340537	-0.6278759	-3.8149915	0.033508502	1.1933552	0.2633003	-1.0164686	-0.37023416	-2.3496625	1.812685	0.7758828	2.3384912	-3.1168125	-2.1725442	1.4031351	-0.21047123
24	0.15690337	0.47213495	-1.2020631	-1.6544552	-1.8442994	-1.1341323	2.7801833	-1.382178	-0.62871474	-0.38278663	0.589689	-0.49331945	1.9100468	0.6485023	-1.9781276	-3.2494032
25	2.9899728	-3.2498887	2.449057	-1.8411009	2.2535725	-0.51203704	-2.4745522	1.0275351	-0.49841908	1.0491877	0.47761863	0.7948235	-1.5775157	3.7160175	1.1912397	-1.7129903
26	-1.6881226	2.7361352	-3.1650002	3.473934	-1.284872	3.3901834	-3.5952902	-0.7740994	0.6792478	1.0005046	0.50076884	-0.21238752	-3.2418828	1.9573143	1.5930102	0.15723075
